Subject,Predicate,Object
Monument,rdf:type,dbpedia-owl:Monument
Monument,owl:sameAs,https://dbpedia.org/page/Lighthouse_of_Alexandria
Monument,dc:title,Lighthouse of Alexandria
Monument,dcterms:created,284-246 BC
Monument,cdwa:Commissioner,Ptolemy I Soter
Monument,dcterms:spatial,Pharos
Monument,schema:material,Lightcoloured stone
Monument,cdwa:DimensionDescription,103-118 meter
Monument,schema:endDate,1303
Monument,dcterms:isPartOf,Seven Wonders of the Ancient World
Ptolemy I Soter,rdf:type,cidoc-crm:E21Person
Ptolemy I Soter,owl:sameAs,https://dbpedia.org/page/Ptolemy_I_Soter
284-246 BC,rdf:type,cidoc-crm:E52_Time-Span
284-246 BC,cidoc-crm:P82a_begin_of_the_begin,"-284"
284-246 BC,cidoc-crm:P82b_end_of_the_end,"-246"
